url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
aaoxg,4,6,5,116000,91,1275,Zaķu 1,2021.10.29,2021.12.11,42,
akbpe,2,9,2,44900,50,898,Zilokalnu iela 24,2021.11.13,2021.12.11,27,
bebic,1,9,1,30000,40,750,Tīnūžu 13,2021.11.01,2021.12.11,39,
bifni,4,6,3,125700,92,1366,Draudzības iela 6a,2021.11.12,2021.12.11,28,
dnnnp,3,5,4,73000,68,1074,Parka 8,2021.11.14,2021.12.12,27,
gkfdk,3,5,5,115000,81,1420,Mednieku 18,2021.12.01,2021.12.13,11,
hpxhl,4,9,2,85000,76,1118,Zilokalnu prospekts 20,2021.07.21,2021.12.13,144,
adbfh,3,5,1,105800,82,1290,Mednieku 19/1,2021.11.02,2021.12.14,41,
fcdfi,3,2,2,38000,62,613,Vidus prospekts 9,2021.11.04,2021.12.16,41,
afjcx,3,5,1,65000,56,1161,Mālkalnes prospekts 17,2021.11.20,2021.12.18,27,
ajggj,2,2,2,24500,52,471,Tīnūžu iela 8 10,2021.11.20,2021.12.18,27,
cecek,2,5,5,65000,52,1250,Lapu iela 11,2021.11.06,2021.12.18,41,
dicjf,4,9,6,79999,64,1250,Ausekļa 10,2021.12.13,2021.12.19,5,
fgfxe,2,9,2,42500,50,850,Zilokalnu 24,2021.12.10,2021.12.20,9,
gkopl,2,9,8,38000,48,792,Zilokalnu prospekts 22,2021.11.08,2021.12.20,41,
ajhmh,1,5,5,32000,40,800,Malkalnes 37,2021.12.07,2021.12.21,13,
bfpbl,1,9,1,30000,23,1304,Ikšķiles iela 2,2021.09.29,2021.12.21,82,
ebenl,2,5,5,65000,54,1204,Parka 10,2021.10.30,2021.12.23,53,
gphpk,3,9,6,92000,66,1394,Rīgas 18,2021.11.25,2021.12.23,27,
ecxbi,1,5,5,27000,27,1000,Grīvas pr. 6a 14,2021.12.13,2021.12.27,13,
afcke,2,9,1,44000,49,898,Zilokalnu prospekts 16,2021.11.18,2021.12.29,40,
ajbxn,2,3,1,42000,47,894,Akmeņu iela 50,2021.12.13,2022.01.01,18,
agxcb,3,9,2,68000,62,1097,Ausekļu prospekts 2a,2021.11.21,2022.01.02,41,
aaoxg,4,6,5,116000,91,1275,Zaķu 1,2021.12.16,2022.01.03,17,
